cmcRank,circulatingSupply,price,volume24h,fetched_on
44,9417210479.461178,0.24548868713637004,227397967.84225643,2024 02 21 - 09:41:52 AM
44,9417210479.461178,0.24606028234415303,227114362.54085237,2024 02 21 - 09:46:58 AM
46,9417210479.461178,0.24404463015952438,227296960.8087,2024 02 21 - 09:52:00 AM
46,9417210479.461178,0.2427931230272527,227427076.45875385,2024 02 21 - 09:57:03 AM
46,9417210479.461178,0.2423575780430053,227372989.09215832,2024 02 21 - 10:02:05 AM
46,9417210479.461178,0.24113127671521245,227095784.78576458,2024 02 21 - 10:07:10 AM
46,9417210479.461178,0.23998497694302334,227259020.03643292,2024 02 21 - 10:12:12 AM
46,9417210479.461178,0.24038094205194954,226005824.8899414,2024 02 21 - 10:17:15 AM
46,9417210479.461178,0.24036118956213326,225223667.3449318,2024 02 21 - 10:22:17 AM
46,9417210479.461178,0.2404509823886935,224974372.29848158,2024 02 21 - 10:27:19 AM
45,9417210479.461178,0.2411848887818278,224193839.04467142,2024 02 21 - 10:32:22 AM
45,9417210479.461178,0.24152327084608816,222784099.27998593,2024 02 21 - 10:37:24 AM
45,9417210479.461178,0.24321748201836352,222536854.5632606,2024 02 21 - 10:42:27 AM
45,9417210479.461178,0.24375463053463164,221810598.9599194,2024 02 21 - 10:47:29 AM
45,9417210479.461178,0.2437556698420259,221761210.92955208,2024 02 21 - 10:52:32 AM
44,9417210479.461178,0.24324504904700636,220905878.31114903,2024 02 21 - 10:57:34 AM
46,9417210479.461178,0.2422331527691285,220588835.37580457,2024 02 21 - 11:02:36 AM
46,9417210479.461178,0.24222930484132607,220374747.86059678,2024 02 21 - 11:07:41 AM
46,9417210479.461178,0.24161468939938177,220191926.58951834,2024 02 21 - 11:12:43 AM
46,9417210479.461178,0.2402637327879643,220346426.9867395,2024 02 21 - 11:17:49 AM
46,9417210479.461178,0.23942205957247464,220209116.92004657,2024 02 21 - 11:22:51 AM
46,9417210479.461178,0.2392173214460666,220234120.42106465,2024 02 21 - 11:27:56 AM
46,9417210479.461178,0.23899419597646332,220859067.41049704,2024 02 21 - 11:32:59 AM
46,9417210479.461178,0.23893461244004172,219997424.99344236,2024 02 21 - 11:38:01 AM
46,9417210479.461178,0.2384511391804878,220186627.15679768,2024 02 21 - 11:43:03 AM
46,9417210479.461178,0.2391727924341832,220585458.15215167,2024 02 21 - 11:48:09 AM
46,9417210479.461178,0.2389274590098954,220549188.9316448,2024 02 21 - 11:53:12 AM
46,9417210479.461178,0.23827696593993286,220345286.83993733,2024 02 21 - 11:58:15 AM
46,9417210479.461178,0.23799021291800068,220120284.57868674,2024 02 21 - 12:03:18 PM
46,9417210479.461178,0.23772050438465733,219681554.04357934,2024 02 21 - 12:08:20 PM
46,9417210479.461178,0.23695632925414017,220203826.4392832,2024 02 21 - 12:14:23 PM
46,9417210479.461178,0.23702007251403828,220095772.16564196,2024 02 21 - 12:19:25 PM
46,9417210479.461178,0.23651529762549295,219741513.35783628,2024 02 21 - 12:24:27 PM
46,9417210479.461178,0.2364882731411254,219778507.35255688,2024 02 21 - 12:29:30 PM
46,9417210479.461178,0.23658689745811295,218329751.03110945,2024 02 21 - 12:34:32 PM
46,9417210479.461178,0.23544160375136863,218502718.88098022,2024 02 21 - 12:39:34 PM
46,9417210479.461178,0.23576684289481764,218572980.42834574,2024 02 21 - 12:44:37 PM
46,9417210479.461178,0.23603964260002477,216419419.2174555,2024 02 21 - 12:49:42 PM
45,9417210479.461178,0.23709235024284056,216233437.57909665,2024 02 21 - 12:54:44 PM
45,9417210479.461178,0.23761251455923463,216349424.53829175,2024 02 21 - 12:59:47 PM
45,9417210479.461178,0.23779277795093012,215834343.76698372,2024 02 21 - 01:04:49 PM
45,9417210479.461178,0.23773700712612048,215296636.64654553,2024 02 21 - 01:09:52 PM
45,9417210479.461178,0.23774658993316472,215249447.02293256,2024 02 21 - 01:14:54 PM
45,9417210479.461178,0.2376738275795995,214832924.64664912,2024 02 21 - 01:19:57 PM
45,9417210479.461178,0.23761385835389567,214493059.52576193,2024 02 21 - 01:25:00 PM
45,9417210479.461178,0.2375857851011807,214602558.91783363,2024 02 21 - 01:30:03 PM
45,9417210479.461178,0.2371611913453531,214065166.86892763,2024 02 21 - 01:35:06 PM
45,9417210479.461178,0.23675257462378266,213720324.90840632,2024 02 21 - 01:40:09 PM
45,9417210479.461178,0.23691920451971757,213931073.03176698,2024 02 21 - 01:45:11 PM
