cmcRank,circulatingSupply,price,volume24h,fetched_on
14,589289556161287.0,1.9158749396725334e-05,3763974068.5932956,2024 03 02 - 08:49:10 AM
14,589289556161287.0,1.9022000366621608e-05,3758778681.040294,2024 03 02 - 08:54:21 AM
14,589289556161287.0,1.9374439774552337e-05,3787799616.1499257,2024 03 02 - 08:59:28 AM
14,589289556161287.0,1.942485497287679e-05,3799550612.5465255,2024 03 02 - 09:04:29 AM
13,589289556161287.0,1.967116650598926e-05,3846279586.495222,2024 03 02 - 09:09:31 AM
13,589289556161287.0,1.959889761941655e-05,3854223750.8361483,2024 03 02 - 09:14:33 AM
14,589289556161287.0,1.9458197963596107e-05,3847969744.8170376,2024 03 02 - 09:19:35 AM
14,589289556161287.0,1.93496267525982e-05,3844662861.937939,2024 03 02 - 09:24:37 AM
13,589289556161287.0,1.9660891761425254e-05,3878276947.3038516,2024 03 02 - 09:29:44 AM
13,589289556161287.0,1.963095714175396e-05,3886264649.6465898,2024 03 02 - 09:34:46 AM
13,589289556161287.0,1.977220591160882e-05,3907373090.672217,2024 03 02 - 09:39:52 AM
13,589289556161287.0,1.994227414130267e-05,3926343421.5586166,2024 03 02 - 09:44:54 AM
11,589289460821239.8,2.1686145656906697e-05,5172721262.935622,2024 03 03 - 11:23:52 AM
11,589289460821239.8,2.1680171553618326e-05,5165563635.335828,2024 03 03 - 11:29:01 AM
11,589289460821239.8,2.1588631640997455e-05,5130579899.387912,2024 03 03 - 11:35:11 AM
12,589289460821239.8,2.0988846390678626e-05,5106352772.227069,2024 03 03 - 11:40:13 AM
12,589289460821239.8,2.0976085203111863e-05,5092418109.982144,2024 03 03 - 11:47:26 AM
11,589289460821239.8,2.136042737132864e-05,5112023411.470728,2024 03 03 - 11:54:32 AM
11,589289460821239.8,2.1522051246645164e-05,5125129394.833185,2024 03 03 - 12:00:47 PM
