cmcRank,circulatingSupply,price,volume24h,fetched_on
57,420689899999994.8,4.072879566714072e-06,1892368582.4409869,2024 03 02 - 08:49:10 AM
56,420689899999994.8,4.106530512427373e-06,1895892544.041326,2024 03 02 - 08:54:21 AM
55,420689899999994.8,4.1286525120745004e-06,1900940614.4068305,2024 03 02 - 08:59:28 AM
55,420689899999994.8,4.142379661523061e-06,1905456826.6986225,2024 03 02 - 09:04:29 AM
55,420689899999994.8,4.150967064453514e-06,1912527576.9133444,2024 03 02 - 09:09:31 AM
55,420689899999994.8,4.1773219221931535e-06,1916250328.2215672,2024 03 02 - 09:14:33 AM
55,420689899999994.8,4.1774636619090786e-06,1918018448.2351859,2024 03 02 - 09:19:35 AM
55,420689899999994.8,4.170053249382527e-06,1919323929.6588352,2024 03 02 - 09:24:37 AM
55,420689899999994.8,4.158740023100459e-06,1920434857.3375423,2024 03 02 - 09:29:44 AM
55,420689899999994.8,4.154511739173913e-06,1921792446.7661684,2024 03 02 - 09:34:46 AM
55,420689899999994.8,4.133132018581163e-06,1923065315.0285785,2024 03 02 - 09:39:52 AM
57,420689899999994.8,4.107540604345957e-06,1924817833.7019901,2024 03 02 - 09:44:54 AM
58,420689899999994.8,4.0967987221217725e-06,1537752854.3595145,2024 03 03 - 11:23:52 AM
58,420689899999994.8,4.0905124638704424e-06,1526717280.7430305,2024 03 03 - 11:29:01 AM
58,420689899999994.8,4.082952131785113e-06,1498320925.8293176,2024 03 03 - 11:35:11 AM
58,420689899999994.8,4.057736193737633e-06,1480343457.5142941,2024 03 03 - 11:40:13 AM
58,420689899999994.8,4.052266106877515e-06,1473513927.353048,2024 03 03 - 11:47:26 AM
58,420689899999994.8,4.06420587115617e-06,1459896724.5151904,2024 03 03 - 11:54:32 AM
58,420689899999994.8,4.082385988395922e-06,1457141021.4645302,2024 03 03 - 12:00:47 PM
