cmcRank,circulatingSupply,price,volume24h,fetched_on
59,14737951.44438289,92.91425133274464,139371697.09531808,2024 02 21 - 09:41:52 AM
60,14737951.44438289,93.02762334968628,139525373.98580134,2024 02 21 - 09:46:58 AM
59,14737951.44438289,92.97487227230141,139539781.70044568,2024 02 21 - 09:52:00 AM
59,14737951.44438289,92.9959388778643,139580001.18371674,2024 02 21 - 09:57:03 AM
59,14737951.44438289,92.99181562460056,139507007.38730967,2024 02 21 - 10:02:05 AM
59,14737951.44438289,92.64787271111497,139633581.18087113,2024 02 21 - 10:07:10 AM
59,14737951.44438289,92.47529956924907,139761403.65881842,2024 02 21 - 10:12:12 AM
59,14737951.44438289,92.55269928231152,139856533.51770046,2024 02 21 - 10:17:15 AM
59,14737951.44438289,92.54364411629034,139839443.4570428,2024 02 21 - 10:22:17 AM
59,14737951.44438289,92.48571512955301,139860636.03245112,2024 02 21 - 10:27:19 AM
59,14737951.44438289,92.45553096220098,139969950.03137648,2024 02 21 - 10:32:22 AM
60,14737951.44438289,92.49690589979681,139963179.0219105,2024 02 21 - 10:37:24 AM
60,14737951.44438289,92.66581954973007,140401429.3120921,2024 02 21 - 10:42:27 AM
60,14737951.44438289,92.628884938143,140378225.308127,2024 02 21 - 10:47:29 AM
60,14737951.44438289,92.52367529430299,140388814.9270391,2024 02 21 - 10:52:32 AM
59,14737951.44438289,92.51960393409121,140437222.81863782,2024 02 21 - 10:57:34 AM
58,14737951.44438289,92.61987900951169,140966644.94112304,2024 02 21 - 11:02:36 AM
58,14737951.44438289,92.61543699577251,141010791.02061486,2024 02 21 - 11:07:41 AM
58,14737951.44438289,92.48777782958925,141095089.71903923,2024 02 21 - 11:12:43 AM
59,14737951.44438289,92.30700136934634,141135945.99885082,2024 02 21 - 11:17:49 AM
59,14737951.44438289,92.30033787336002,141444139.4882163,2024 02 21 - 11:22:51 AM
58,14737951.44438289,92.26147378225829,141861628.45399955,2024 02 21 - 11:27:56 AM
58,14737951.44438289,92.24488214660516,142106784.07831067,2024 02 21 - 11:32:59 AM
58,14737951.44438289,92.02601850480528,142188572.85528436,2024 02 21 - 11:38:01 AM
58,14737973.08876656,91.97153174654146,142499412.37411252,2024 02 21 - 11:43:03 AM
58,14737973.08876656,92.17126318092407,142591938.62746364,2024 02 21 - 11:48:09 AM
58,14737973.08876656,92.11377695054063,142712156.6105193,2024 02 21 - 11:53:12 AM
58,14737973.08876656,92.09883738980146,142815696.1330695,2024 02 21 - 11:58:15 AM
58,14737973.08876656,92.04512250970953,142666315.99212143,2024 02 21 - 12:03:18 PM
58,14737973.08876656,92.0274115568143,142701696.02952263,2024 02 21 - 12:08:20 PM
58,14737973.08876656,91.74427003932733,142901331.16134197,2024 02 21 - 12:14:23 PM
58,14737973.08876656,91.76441909212541,143007050.9380274,2024 02 21 - 12:19:25 PM
58,14737973.08876656,91.49561158647468,142969393.0613554,2024 02 21 - 12:24:27 PM
58,14737973.08876656,91.39767036429714,143109257.1342562,2024 02 21 - 12:29:30 PM
58,14737973.08876656,91.22718862301366,143039574.02665085,2024 02 21 - 12:34:32 PM
58,14737973.08876656,90.89301757928843,143970820.6705855,2024 02 21 - 12:39:34 PM
58,14737973.08876656,90.95909115562446,144405376.6791986,2024 02 21 - 12:44:37 PM
58,14737973.08876656,91.18127035079395,144618798.61457446,2024 02 21 - 12:49:42 PM
58,14737973.08876656,91.19416202675039,144947160.83342263,2024 02 21 - 12:54:44 PM
58,14737973.08876656,91.26826573987358,145085435.67416,2024 02 21 - 12:59:47 PM
58,14737973.08876656,91.415405200469,145161688.50704545,2024 02 21 - 01:04:49 PM
58,14737973.08876656,91.3178293107594,145167995.09974456,2024 02 21 - 01:09:52 PM
58,14737973.08876656,91.31223938953954,145191265.86039183,2024 02 21 - 01:14:54 PM
58,14737973.08876656,91.26113820508888,145181506.64205143,2024 02 21 - 01:19:57 PM
58,14737973.08876656,91.15681649222014,145146380.19790983,2024 02 21 - 01:25:00 PM
58,14737973.08876656,91.07240823713366,145226910.30039337,2024 02 21 - 01:30:03 PM
58,14737973.08876656,91.12294077464468,145204074.43156832,2024 02 21 - 01:35:06 PM
58,14737973.08876656,91.18533807249568,145275512.85163984,2024 02 21 - 01:40:09 PM
58,14737973.08876656,91.04719931535755,145341584.9199764,2024 02 21 - 01:45:11 PM
58,14737973.08876656,90.91915064273493,145598089.19000968,2024 02 21 - 01:50:13 PM
58,14737973.08876656,90.96331831663323,145673053.1676449,2024 02 21 - 01:55:16 PM
59,14737973.08876656,90.94730614487493,145690483.52793777,2024 02 21 - 02:00:18 PM
59,14737973.08876656,90.96580929788666,145812085.92099482,2024 02 21 - 02:05:20 PM
59,14737973.08876656,90.87030523003624,145841128.16042912,2024 02 21 - 02:10:24 PM
59,14737973.08876656,90.81506004322956,145803915.9494287,2024 02 21 - 02:15:26 PM
59,14737973.08876656,90.79128653088218,145692042.85274404,2024 02 21 - 02:20:28 PM
59,14737973.08876656,90.87471092471121,145683937.07911313,2024 02 21 - 02:25:31 PM
59,14737973.08876656,90.97950381155219,145837911.18136138,2024 02 21 - 02:30:33 PM
