cmcRank,circulatingSupply,price,volume24h,fetched_on
34,506365351.0,5.321410802613552,109314282.57280993,2024 02 09 - 08:56:35 AM
34,506365351.0,5.310098836775981,109496026.55507517,2024 02 09 - 09:00:52 AM
34,506365351.0,5.310703821810978,109804414.48425561,2024 02 09 - 09:05:38 AM
34,506365351.0,5.314621851111101,109993749.62113604,2024 02 09 - 09:10:26 AM
34,506365351.0,5.325890606176515,110225635.97685622,2024 02 09 - 09:14:41 AM
34,506365351.0,5.32602958716622,110482580.18434529,2024 02 09 - 09:19:09 AM
34,506365351.0,5.318571822772607,110974216.18674351,2024 02 09 - 09:24:04 AM
34,506365351.0,5.32174340140611,111272136.09780511,2024 02 09 - 09:28:45 AM
34,506365351.0,5.326158726089228,111657510.45786387,2024 02 09 - 09:33:31 AM
34,506365351.0,5.326512514624461,111838210.43728904,2024 02 09 - 09:38:26 AM
35,506371703.0,5.340081309073073,112452222.3783395,2024 02 09 - 09:43:07 AM
35,506371703.0,5.333719526974561,112570370.53456242,2024 02 09 - 09:48:09 AM
35,506371703.0,5.333078072178003,113044895.08267143,2024 02 09 - 09:52:27 AM
35,506371703.0,5.340387629586751,113311640.96252266,2024 02 09 - 09:56:58 AM
35,506371703.0,5.344154226288288,113948337.12609173,2024 02 09 - 10:01:35 AM
35,506371703.0,5.333659527282441,114328310.73041555,2024 02 09 - 10:05:59 AM
35,506371703.0,5.345426680442051,114675925.33618784,2024 02 09 - 10:10:25 AM
35,506371703.0,5.342948310147121,115156454.6952379,2024 02 09 - 10:14:46 AM
35,506371703.0,5.3461998780511415,115244852.54523082,2024 02 09 - 10:19:44 AM
35,506371703.0,5.347381837369334,115844862.12591083,2024 02 09 - 10:24:35 AM
35,506371703.0,5.346018368131126,115612965.67468153,2024 02 09 - 10:29:35 AM
35,506371703.0,5.346113025775577,115422571.08230838,2024 02 09 - 10:34:14 AM
35,506371703.0,5.34056603565516,115786583.50345355,2024 02 09 - 10:38:31 AM
35,506371703.0,5.3373513085514475,115586973.00787865,2024 02 09 - 10:43:04 AM
35,506371703.0,5.346055762721066,115567417.77983302,2024 02 09 - 10:47:31 AM
35,506371703.0,5.346285975058241,115889437.4385338,2024 02 09 - 10:51:47 AM
35,506371703.0,5.346462997172314,115947346.98656784,2024 02 09 - 10:56:22 AM
35,506371703.0,5.3483354737028,116015837.26179956,2024 02 09 - 11:00:57 AM
35,506371703.0,5.3436261091908035,116187839.03873575,2024 02 09 - 11:05:15 AM
35,506371703.0,5.344125205707464,116391051.92373694,2024 02 09 - 11:09:50 AM
35,506371703.0,5.340240101973822,116581052.11585931,2024 02 09 - 11:14:22 AM
35,506371703.0,5.343978045605437,116779493.84038047,2024 02 09 - 11:18:57 AM
35,506371703.0,5.350370914570047,117051250.97742547,2024 02 09 - 11:25:11 AM
35,506371703.0,5.347966217937329,117141975.31481618,2024 02 09 - 11:30:11 AM
35,506371703.0,5.342494884287756,117104295.67224376,2024 02 09 - 11:35:11 AM
35,506371703.0,5.341063921554836,116997985.25019747,2024 02 09 - 11:39:58 AM
35,506377548.0,5.343169260121561,116952315.29514119,2024 02 09 - 11:44:17 AM
35,506377548.0,5.343632501795473,116800015.46413994,2024 02 09 - 11:48:38 AM
35,506377548.0,5.343856594504318,116938153.0783959,2024 02 09 - 11:52:54 AM
35,506377548.0,5.34591071881667,116871788.41140233,2024 02 09 - 11:57:27 AM
35,506377548.0,5.345284917526864,116835251.3875693,2024 02 09 - 12:02:08 PM
35,506377548.0,5.334198695035173,116663288.06503177,2024 02 09 - 12:07:07 PM
35,506377548.0,5.337099810160693,116675726.54345587,2024 02 09 - 12:11:30 PM
35,506377548.0,5.333274865356718,116777198.80414796,2024 02 09 - 12:16:19 PM
35,506377548.0,5.340832448836609,117024643.14471784,2024 02 09 - 12:20:42 PM
35,506377548.0,5.346083970406617,117059139.58405137,2024 02 09 - 12:25:04 PM
35,506377548.0,5.344515106592488,117117521.8296016,2024 02 09 - 12:29:21 PM
35,506377548.0,5.343081598059572,116971315.2069197,2024 02 09 - 12:33:39 PM
35,506377548.0,5.342943473561816,116935360.44586693,2024 02 09 - 12:38:09 PM
35,506377548.0,5.341528380208749,116689872.82584235,2024 02 09 - 12:42:50 PM
35,506377548.0,5.341412035268529,116540102.94584043,2024 02 09 - 12:47:47 PM
35,506377548.0,5.336288393464364,116660964.37552813,2024 02 09 - 12:52:24 PM
35,506377548.0,5.340938999467068,116625827.32880996,2024 02 09 - 12:56:36 PM
35,506377548.0,5.3453120838079995,116694191.40756333,2024 02 09 - 01:00:51 PM
35,506377548.0,5.341493110128415,116924292.5735097,2024 02 09 - 01:05:20 PM
35,506377548.0,5.345784506645479,117167962.66873842,2024 02 09 - 01:10:19 PM
