cmcRank,circulatingSupply,price,volume24h,fetched_on
82,1116681877.1354,0.7319139029949026,91353368.06560381,2024 02 09 - 08:56:36 AM
82,1116681877.1354,0.731675386588656,91294021.53185032,2024 02 09 - 09:00:52 AM
82,1116681877.1354,0.7309047375339751,91404940.1895662,2024 02 09 - 09:05:38 AM
82,1116681877.1354,0.7313055932379352,91408894.29199924,2024 02 09 - 09:10:26 AM
82,1116681877.1354,0.7306451432033929,91552589.24750926,2024 02 09 - 09:14:41 AM
82,1116681877.1354,0.7302366400932918,91539057.52636461,2024 02 09 - 09:19:09 AM
82,1116681877.1354,0.7297565333005264,91442485.9364898,2024 02 09 - 09:24:04 AM
82,1116681877.1354,0.7294709158738027,91548970.74470773,2024 02 09 - 09:28:45 AM
82,1116681877.1354,0.7291827964792503,91401762.06591631,2024 02 09 - 09:33:31 AM
82,1116681877.1354,0.7298190956065375,91393087.65506536,2024 02 09 - 09:38:26 AM
82,1116689618.3723,0.7301350714597181,91388750.09561154,2024 02 09 - 09:43:07 AM
82,1116689618.3723,0.7296227260704302,91311751.66394511,2024 02 09 - 09:48:09 AM
82,1116689618.3723,0.7287357695287258,91235670.75991903,2024 02 09 - 09:52:27 AM
82,1116689618.3723,0.7284998817702333,91242613.24541591,2024 02 09 - 09:56:58 AM
82,1116689618.3723,0.7282715100073085,91490575.02131768,2024 02 09 - 10:01:35 AM
82,1116689618.3723,0.7284958604233907,91552564.57267727,2024 02 09 - 10:05:59 AM
82,1116689618.3723,0.7285110725997991,91512897.00740233,2024 02 09 - 10:10:25 AM
82,1116689618.3723,0.7287773967479299,91578351.0727187,2024 02 09 - 10:14:46 AM
82,1116689618.3723,0.7290841482022496,91518256.76548395,2024 02 09 - 10:19:44 AM
82,1116689618.3723,0.729062516218112,91461510.15318193,2024 02 09 - 10:24:35 AM
82,1116689618.3723,0.7288923664609245,91609035.00163612,2024 02 09 - 10:29:35 AM
82,1116689618.3723,0.7291113698299548,91483987.09152053,2024 02 09 - 10:34:14 AM
82,1116689618.3723,0.7302003621124246,91817942.74927695,2024 02 09 - 10:38:31 AM
82,1116689618.3723,0.7305201420013407,92007905.64849588,2024 02 09 - 10:43:04 AM
81,1116689618.3723,0.7315740507966968,92249097.32461172,2024 02 09 - 10:47:31 AM
81,1116689618.3723,0.7312137470524138,92514735.31770183,2024 02 09 - 10:51:48 AM
81,1116689618.3723,0.7315776497901618,92508068.14172822,2024 02 09 - 10:56:22 AM
80,1116689618.3723,0.7321701731476926,92517781.74524686,2024 02 09 - 11:00:57 AM
80,1116689618.3723,0.7322024479331269,92419105.70188497,2024 02 09 - 11:05:15 AM
80,1116689618.3723,0.7332988650179877,92602746.28241765,2024 02 09 - 11:09:50 AM
80,1116689618.3723,0.73310906909911,92679351.16620462,2024 02 09 - 11:14:22 AM
80,1116689618.3723,0.7331384801226245,92559697.25015889,2024 02 09 - 11:18:57 AM
80,1116689618.3723,0.7333601378966218,92753714.27999875,2024 02 09 - 11:25:11 AM
80,1116689618.3723,0.733540072452204,92931497.31385878,2024 02 09 - 11:30:11 AM
80,1116689618.3723,0.7348501979880376,93040290.02223529,2024 02 09 - 11:35:11 AM
80,1116689618.3723,0.7343833593581731,93150530.81350833,2024 02 09 - 11:39:58 AM
80,1116697352.4387,0.7345687131408299,93306593.31848758,2024 02 09 - 11:44:17 AM
80,1116697352.4387,0.7344797042868663,93293593.32662538,2024 02 09 - 11:48:38 AM
80,1116697352.4387,0.7350988374890267,93498706.40838481,2024 02 09 - 11:52:54 AM
80,1116697352.4387,0.7353046210759757,93524052.85066672,2024 02 09 - 11:57:27 AM
81,1116697352.4387,0.7353011584005827,93528934.93859933,2024 02 09 - 12:02:08 PM
79,1116697352.4387,0.7351532314581571,93592599.34546165,2024 02 09 - 12:07:07 PM
79,1116697352.4387,0.7352572986042066,93656466.09591618,2024 02 09 - 12:11:30 PM
80,1116697352.4387,0.7352572499819838,93522298.21402018,2024 02 09 - 12:16:19 PM
79,1116697352.4387,0.7351480746721247,93481589.54874076,2024 02 09 - 12:20:42 PM
80,1116697352.4387,0.7351806193160104,93355275.39985162,2024 02 09 - 12:25:04 PM
80,1116697352.4387,0.7349410220870194,93422688.02705179,2024 02 09 - 12:29:21 PM
80,1116697352.4387,0.7351967791097389,93456155.50169641,2024 02 09 - 12:33:39 PM
80,1116697352.4387,0.7354795350751685,93665807.38692753,2024 02 09 - 12:38:09 PM
79,1116697352.4387,0.736146150861491,93705842.62130763,2024 02 09 - 12:42:50 PM
79,1116697352.4387,0.7364519881842394,93736187.38149029,2024 02 09 - 12:47:47 PM
79,1116697352.4387,0.7368824272827362,93884774.85136874,2024 02 09 - 12:52:24 PM
79,1116697352.4387,0.7376333455065132,93948019.07693765,2024 02 09 - 12:56:36 PM
80,1116697352.4387,0.7375750391537057,94068603.06474933,2024 02 09 - 01:00:51 PM
80,1116697352.4387,0.7373034121742688,94408376.43503195,2024 02 09 - 01:05:20 PM
80,1116697352.4387,0.7379300048025231,94774100.30723193,2024 02 09 - 01:10:19 PM
80,1116697352.4387,0.738466565089675,95247909.36696306,2024 02 09 - 01:14:56 PM
80,1116697352.4387,0.7382277119737556,95443515.33743669,2024 02 09 - 01:19:47 PM
79,1116697352.4387,0.7377590250376987,95599615.07052836,2024 02 09 - 01:25:09 PM
79,1116697352.4387,0.7378999314527915,95722882.12823601,2024 02 09 - 01:29:46 PM
79,1116697352.4387,0.7381727674507294,95732054.74521367,2024 02 09 - 01:34:17 PM
79,1116697352.4387,0.7389426946939428,95794755.75348306,2024 02 09 - 01:38:37 PM
79,1116704611.8757,0.738529414719615,95880710.3191208,2024 02 09 - 01:43:30 PM
79,1116704611.8757,0.7376435305607668,95950869.44930115,2024 02 09 - 01:48:11 PM
80,1116704611.8757,0.7372707776342321,96029717.48949088,2024 02 09 - 01:52:54 PM
80,1116704611.8757,0.7370096296433085,96023277.02927208,2024 02 09 - 01:57:40 PM
80,1116704611.8757,0.7366045747116813,95962751.5594887,2024 02 09 - 02:02:27 PM
80,1116704611.8757,0.7367316766011478,95819870.22026962,2024 02 09 - 02:07:25 PM
78,1116704611.8757,0.7399209468406139,96397101.59301749,2024 02 09 - 02:11:43 PM
78,1116704611.8757,0.7401641571875605,96523624.76416384,2024 02 09 - 02:16:00 PM
78,1116704611.8757,0.7403712445575024,96802154.43974091,2024 02 09 - 02:21:03 PM
78,1116704611.8757,0.7404224196269565,96830208.91708864,2024 02 09 - 02:25:26 PM
78,1116704611.8757,0.7409478338875978,96961943.00816882,2024 02 09 - 02:30:14 PM
79,1116704611.8757,0.7412972169743671,96952600.10417065,2024 02 09 - 02:35:02 PM
79,1116704611.8757,0.7409396965032722,97157281.13215607,2024 02 09 - 02:39:42 PM
79,1116704611.8757,0.7406917725257982,97204052.48223661,2024 02 09 - 02:44:04 PM
79,1116704611.8757,0.7402026085003439,97127427.42616454,2024 02 09 - 02:48:39 PM
78,1116704611.8757,0.7392783705440641,97355709.39929521,2024 02 09 - 02:52:51 PM
79,1116704611.8757,0.7393389599336949,97390222.80054761,2024 02 09 - 02:57:16 PM
